FID_,ROADID,ROADCAT_CD,L_ADD_FROM,L_ADD_TO,R_ADD_FROM,R_ADD_TO,PRE_DIR,STR_NAME,STR_TYPE,SUF_DIR,FINT,TINT,Shape_Leng,ADD_MIN,ADD_MAX,STREET,STNAMETYPE,TRAVDIR_CD,STRLVL_CD,ROADCAT_DS,PC_UID,ID,IDENTIFIER,access,"""",","
,55395,LRD_MN,401,423,400,424,E,8TH,ST, ,2350,90,231.9670711,400,424,E 8TH ST,8TH ST,B,0,Minor local road,3669,3669,road3669,car walk,"""road3669"",","""road3669"","
,41636,LRD_MN,525,599,524,598,E,UNIVERSITY,BL, ,7000,8625,230.2258002,524,599,E UNIVERSITY BL,UNIVERSITY BL,B,0,Minor local road,5041,5041,road5041,car walk,"""road5041"",","""road5041"","
,9729,LRD_MN,883,999,884,998,E,UNIVERSITY,BL, ,12434,12435,353.0624573,883,999,E UNIVERSITY BL,UNIVERSITY BL,B,0,Minor local road,5294,5294,road5294,car walk,"""road5294"",","""road5294"","
,13170,LRD_MJ,201,299,200,298,N,4TH,AV, ,66360,2350,470.5657473,200,299,N 4TH AV,4TH AV,B,0,Major local road,5833,5833,road5833,car walk,"""road5833"",","""road5833"","
,16559,LRD_MN,901,949,900,948,N,PARK,AV, ,11963,11964,294.272075,900,949,N PARK AV,PARK AV,B,0,Minor local road,5836,5836,road5836,car walk,"""road5836"",","""road5836"","
,9758,LRD_MN,701,799,700,798,N,TYNDALL,AV, ,114499,12434,477.8724266,700,799,N TYNDALL AV,TYNDALL AV,B,0,Minor local road,6234,6234,road6234,car walk,"""road6234"",","""road6234"","
,167397,LRD_MN,1601,1699,1600,1698,E,HELEN,ST, ,123461,3858,458.1640465,1600,1699,E HELEN ST,HELEN ST,B,0,Minor local road,6531,6531,road6531,car walk,"""road6531"",","""road6531"","
,57256,LRD_MN,701,799,700,798,N,JACOBUS,AV, ,27646,39816,468.4421153,700,799,N JACOBUS AV,JACOBUS AV,B,0,Minor local road,6932,6932,road6932,car walk,"""road6932"",","""road6932"","
,23202,LRD_MN,401,423,400,422,E,4TH,ST, ,893,22819,237.5009798,400,423,E 4TH ST,4TH ST,B,0,Minor local road,7108,7108,road7108,car walk,"""road7108"",","""road7108"","
,9074,LRD_MN,325,399,324,398,E,8TH,ST, ,29585,2350,244.9033182,324,399,E 8TH ST,8TH ST,B,0,Minor local road,7347,7347,road7347,car walk,"""road7347"",","""road7347"","
,36843,LRD_MN,401,419,400,420,E,5TH,ST, ,5951,14722,240.9417361,400,420,E 5TH ST,5TH ST,B,0,Minor local road,7783,7783,road7783,car walk,"""road7783"",","""road7783"","
,2511,LRD_MJ,1,49,2,48,S,STONE,AV, ,1709,40226,313.8048809,1,49,S STONE AV,STONE AV,W,0,Major local road,8512,8512,road8512,car walk,"""road8512"",","""road8512"","
,45489,LRD_MN,801,899,800,898,N,BEAN,AV, ,7000,5245,477.7349716,800,899,N BEAN AV,BEAN AV,B,0,Minor local road,9330,9330,road9330,car walk,"""road9330"",","""road9330"","
,8703,LRD_MN,325,399,326,398,E,7TH,ST, ,2027,2028,243.635927,325,399,E 7TH ST,7TH ST,B,0,Minor local road,10834,10834,road10834,car walk,"""road10834"",","""road10834"","
,22940,LRD_MJ,801,907,800,906,N,EUCLID,AV, ,32697,32816,476.7347332,800,907,N EUCLID AV,EUCLID AV,B,0,Major local road,11945,11945,road11945,car walk,"""road11945"",","""road11945"","
,7915,LRD_MN,1101,1199,1100,1198,N,CHERRY,AV, ,12744,123461,483.8841434,1100,1199,N CHERRY AV,CHERRY AV,B,0,Minor local road,12078,12078,road12078,car walk,"""road12078"",","""road12078"","
,6334,LRD_MN,325,399,324,398,E,4TH,ST, ,10142,893,238.1029189,324,399,E 4TH ST,4TH ST,B,0,Minor local road,15981,15981,road15981,car walk,"""road15981"",","""road15981"","
,56039,LRD_MJ,701,799,700,798,N,EUCLID,AV, ,13520,32697,473.6230624,700,799,N EUCLID AV,EUCLID AV,B,0,Major local road,16391,16391,road16391,car walk,"""road16391"",","""road16391"","
,42628,LRD_MN,801,899,800,898,N,PARK,AV, ,12435,11963,476.0184146,800,899,N PARK AV,PARK AV,B,0,Minor local road,16924,16924,road16924,car walk,"""road16924"",","""road16924"","
